,Revenue,Gross Margin,Operating Margin,Gross Profit,Operating Profit,Net Income,EPS,PE Ratio,Discounted Cash Flow
0,2731.05,0.21,0.07,516.07,85.36,37.15,0.63,29.34,130.224963839559
1,2631.15,0.22,0.03,478.18,106.33,28.1,0.47,30.2,130.67609669554787
2,2779.47,0.22,0.17,669.97,465.39,93.08,1.57,30.0,363.9929325991855
3,2778.92,0.22,0.14,617.53,371.32,74.26,1.25,30.6,283.7755640541249
4,2591.6,0.18,0.1,456.34,405.19,87.38,1.48,30.03,376.48283075083054
5,2818.09,0.16,0.05,348.28,102.66,24.56,0.41,30.17,101.99696727257891
6,2613.21,0.22,0.13,653.44,286.27,57.25,0.97,29.99,209.30593344580444
7,2580.31,0.19,0.11,389.84,337.28,69.03,1.17,30.31,291.5126891400911
8,2799.5,0.23,0.14,784.42,361.93,72.39,1.22,29.84,282.511219766047
9,2715.53,0.18,0.12,584.87,354.12,72.2,1.22,30.13,270.6777628760078
10,2771.47,0.2,0.08,569.21,271.58,60.89,1.03,30.38,279.56103240586816
11,2711.51,0.21,0.17,579.29,407.85,81.57,1.38,30.04,312.4107509250484
12,2696.1,0.18,0.05,567.56,184.7,47.0,0.79,29.8,182.27395634648718
13,2769.03,0.26,0.08,673.5,324.61,66.68,1.13,30.29,247.31474716894076
14,2736.48,0.18,0.01,448.58,-87.07,13.2,0.22,29.76,55.67343013673188
15,2859.14,0.24,0.1,670.65,324.57,68.97,1.16,29.81,274.14023221658726
16,2964.12,0.2,0.08,604.19,161.25,35.35,0.6,30.16,142.4141183139811
17,2667.38,0.2,0.12,549.31,381.35,78.23,1.32,30.26,281.0608545047783
18,2428.98,0.23,0.09,544.79,179.08,35.82,0.6,30.18,145.63535492685395
19,2808.56,0.16,0.1,375.06,220.82,44.85,0.76,30.28,155.83070602292875
20,2727.69,0.23,0.08,663.09,-78.73,29.97,0.51,30.37,125.85872583349821
21,2646.28,0.22,0.13,569.65,275.98,59.59,1.01,30.3,211.04914876058118
22,2821.09,0.19,0.08,437.56,189.59,41.04,0.69,29.97,166.13301319985064
23,2793.4,0.15,0.11,493.25,391.06,81.36,1.37,30.19,312.0013498067758
24,2901.78,0.17,0.12,497.09,275.17,55.03,0.93,30.13,199.50950041934192
25,2580.08,0.19,0.09,528.9,303.15,69.84,1.18,30.35,272.04873366199706
26,2810.06,0.2,0.1,418.56,346.35,77.84,1.31,30.21,327.605900261947
27,2814.18,0.17,0.11,543.48,329.21,66.53,1.12,29.69,271.0410419548666
28,2891.39,0.2,0.14,639.5,355.9,71.18,1.2,30.18,302.4785697569079
29,2716.68,0.21,0.12,579.55,339.08,67.82,1.15,29.93,266.80100161217274
30,2674.68,0.22,0.1,607.38,285.46,57.09,0.96,29.61,234.0557577173
31,2589.27,0.18,0.09,498.86,276.52,64.16,1.08,30.03,315.9609385785012
32,2722.38,0.22,0.12,612.86,292.0,65.02,1.1,30.49,275.2101637680273
33,2816.31,0.19,0.11,487.6,282.7,56.54,0.95,30.27,213.79899378373827
34,2767.51,0.17,0.16,439.45,497.44,99.49,1.68,29.83,432.67168125118053
35,2867.45,0.25,0.04,611.7,116.7,32.37,0.55,30.35,111.77214792404884
36,2919.21,0.2,0.12,546.55,417.3,84.47,1.43,30.09,355.71970018006033
37,2770.84,0.24,0.08,545.35,110.72,38.04,0.64,29.95,138.12678865378194
38,2859.18,0.18,0.06,477.28,246.65,52.42,0.89,30.14,225.61216583473245
39,2633.52,0.23,0.04,592.78,63.64,31.03,0.52,29.74,132.69263497490903
40,2572.47,0.24,0.09,635.97,171.84,34.62,0.58,29.83,126.08826611941402
41,2763.57,0.23,0.09,593.19,91.63,43.76,0.74,29.9,158.94463200709131
42,2548.57,0.17,0.08,420.15,174.23,38.03,0.64,30.18,156.37724349880924
43,2697.91,0.23,0.14,483.26,359.69,72.52,1.22,30.0,286.1824561343141
44,2647.01,0.19,0.09,569.89,248.0,67.25,1.14,29.86,293.34475971745525
45,2705.56,0.23,0.09,688.75,174.81,37.43,0.63,30.11,165.98874137981042
46,2550.77,0.2,0.06,442.41,124.14,31.03,0.52,30.24,107.10590730975728
47,2802.35,0.21,0.11,625.54,419.21,83.84,1.42,29.48,360.6465140411067
48,2795.06,0.22,0.14,601.96,409.28,81.86,1.38,30.06,363.75686861413067
49,2915.96,0.15,0.12,387.43,356.31,75.43,1.27,30.21,275.0792677875875
50,2859.5,0.2,0.12,616.28,424.94,84.99,1.44,30.39,361.4978356351568
51,2799.2,0.26,0.09,611.77,223.78,44.76,0.76,30.1,205.94185255440698
52,2961.14,0.19,0.06,548.63,179.73,55.11,0.93,29.85,224.79198121956176
53,2735.01,0.17,0.03,491.36,76.13,28.22,0.48,29.65,125.41013092607837
54,2697.47,0.16,0.06,370.61,163.3,40.29,0.68,30.07,176.10782143254696
55,2700.72,0.21,0.11,580.41,315.91,64.13,1.08,29.88,223.90086092573438
56,2891.99,0.15,0.04,437.69,57.97,19.87,0.34,30.08,73.5446399278494
57,2714.8,0.19,0.14,670.86,277.84,55.57,0.94,29.93,218.2707452815336
58,2863.49,0.22,0.11,607.3,192.39,43.06,0.73,29.73,178.7961455498507
59,2695.73,0.2,0.15,608.21,314.17,62.83,1.06,30.71,234.94686497589524
60,2806.8,0.21,0.13,586.93,307.81,61.56,1.04,30.17,276.45599210886024
61,2723.49,0.19,0.11,549.79,288.75,58.71,0.99,30.04,237.79422239954528
62,2842.9,0.21,0.12,663.95,286.3,57.26,0.97,29.64,202.88328799178908
63,2764.5,0.2,0.04,498.32,31.54,28.08,0.47,30.33,102.57209501833316
64,2691.68,0.18,0.07,574.32,120.8,30.75,0.52,29.83,122.38381591771866
65,2832.33,0.22,0.11,692.29,305.74,80.99,1.37,29.53,348.5435903703868
66,2608.31,0.19,0.04,556.32,39.67,18.06,0.3,30.21,73.45104031996296
67,2776.81,0.22,0.13,613.61,298.26,62.25,1.05,30.34,264.8690544002329
68,2818.48,0.2,0.08,590.46,248.44,51.33,0.87,29.7,231.322929249383
69,2941.43,0.19,0.1,569.95,270.41,54.08,0.91,29.96,198.18072464891154
70,2591.54,0.18,0.09,499.75,264.37,54.12,0.91,29.79,232.6887535387924
71,3001.09,0.17,0.13,552.67,366.99,75.05,1.27,30.16,255.39299930533565
72,2566.89,0.19,0.11,475.88,367.79,73.69,1.24,29.31,274.42004971130905
73,2782.59,0.19,0.04,464.92,218.19,50.85,0.86,29.96,171.68689710456314
74,2870.78,0.21,0.06,787.39,254.75,53.77,0.91,30.07,247.67456837650514
75,2694.75,0.18,0.1,468.2,208.19,41.64,0.7,29.83,151.23275062536467
76,2906.27,0.19,0.14,541.93,488.67,97.73,1.65,29.71,389.2631623302748
77,2848.88,0.24,0.11,768.05,328.31,81.62,1.38,29.62,325.1180645692897
78,2824.05,0.21,0.11,617.83,217.87,49.94,0.84,30.07,205.8900011959669
79,2808.49,0.24,0.12,597.38,386.11,78.58,1.33,30.16,318.7220804436409
80,2697.66,0.21,0.14,454.75,398.18,82.56,1.39,29.97,309.58002485472247
81,2732.57,0.15,0.09,476.44,317.78,67.23,1.14,30.15,304.2906995100948
82,2601.45,0.24,0.13,563.95,319.0,63.8,1.08,29.97,252.31805205060368
83,2701.64,0.17,0.08,475.27,207.72,45.28,0.76,29.88,184.797755134593
84,2859.68,0.21,0.12,566.08,334.67,69.89,1.18,30.05,267.1271400190153
85,2826.47,0.22,0.15,630.53,392.22,78.44,1.32,29.98,271.19307746016824
86,2978.76,0.21,0.12,600.77,435.61,92.15,1.56,29.83,374.7310829814168
87,2804.79,0.18,0.09,555.15,212.11,42.42,0.72,30.01,185.8138145536628
88,2737.16,0.19,0.13,659.4,461.31,93.38,1.58,30.03,386.9385015958636
89,2798.0,0.17,0.12,527.76,327.12,67.77,1.14,30.11,285.4162873494041
90,2785.35,0.16,0.09,457.97,152.01,41.1,0.69,30.14,171.05923906505393
91,3076.1,0.23,0.04,733.91,127.1,29.22,0.49,29.59,101.11499804018128
92,2889.07,0.26,0.12,670.22,355.73,71.15,1.2,29.95,290.99771547690295
93,2809.63,0.21,0.12,615.04,352.01,77.04,1.3,29.91,294.80299739588145
94,2678.67,0.22,0.11,638.78,292.53,64.53,1.09,30.1,256.004112477254
95,2668.45,0.17,0.05,331.58,166.18,42.47,0.72,30.29,169.03860605840347
96,2904.97,0.23,0.12,658.66,352.17,70.43,1.19,30.19,250.57322879679688
97,2862.42,0.2,0.05,489.77,247.13,70.21,1.19,30.16,327.38619709110526
98,2631.23,0.23,0.09,600.95,215.59,43.12,0.73,29.99,166.1932183949178
99,2811.39,0.23,0.13,770.84,303.09,60.62,1.02,30.0,224.54876760107538
100,2888.72,0.23,0.16,640.28,576.79,115.51,1.95,29.84,444.3864287912126
101,2812.21,0.21,0.11,576.84,396.47,80.99,1.37,29.82,312.4469171514237
102,2621.57,0.19,0.11,501.2,266.04,53.69,0.91,30.29,213.61080041938257
103,2769.26,0.21,0.07,612.3,120.77,38.99,0.66,29.78,145.24450807421186
104,2761.41,0.17,0.13,456.57,331.34,66.27,1.12,29.92,232.6902971218398
105,2732.9,0.2,0.07,563.69,303.34,64.3,1.09,29.76,255.3527695173364
106,2644.03,0.17,0.13,498.89,246.42,61.72,1.04,30.22,223.20289709292405
107,2849.99,0.21,0.12,438.48,388.57,78.9,1.33,29.92,273.5578938222058
108,2698.72,0.28,0.1,780.42,241.58,52.1,0.88,30.11,188.05011893836019
109,2696.42,0.21,0.06,534.05,134.99,37.47,0.63,30.04,152.3400964177231
110,2983.09,0.17,0.08,587.18,111.28,33.74,0.57,29.81,125.939880081052
111,2596.98,0.24,0.09,521.38,239.15,56.26,0.95,30.25,212.50777976784434
112,2687.82,0.16,0.11,497.04,326.19,66.32,1.12,29.78,285.53582084873915
113,2646.18,0.16,0.09,506.54,208.69,41.74,0.7,30.49,164.474816808289
114,2696.8,0.19,0.1,486.96,181.3,39.98,0.68,30.13,166.65436621336235
115,2792.18,0.25,0.09,740.41,330.65,69.65,1.18,29.7,290.1691834607162
116,2719.01,0.25,0.14,679.16,361.73,72.89,1.23,29.94,289.3458303315956
117,2857.84,0.16,0.08,426.18,210.95,43.57,0.74,29.85,187.11188180425697
118,2839.52,0.22,0.12,632.02,325.72,65.14,1.1,30.23,254.5557197780864
119,2700.58,0.23,0.04,517.31,117.25,26.49,0.45,29.85,95.35770676698613
120,2635.11,0.23,0.1,538.2,279.53,59.47,1.0,29.73,244.5235436571951
121,2589.89,0.17,0.09,430.81,284.37,60.83,1.03,29.81,253.91462831118963
122,2534.94,0.18,0.07,393.11,265.48,54.65,0.92,29.74,235.13916990013217
123,2566.21,0.17,0.12,415.21,222.01,46.89,0.79,30.73,177.73332725135307
124,2580.87,0.17,0.13,471.24,222.85,51.73,0.87,29.81,232.14108147265634
125,2796.22,0.22,0.05,625.75,93.32,37.95,0.64,30.35,134.1846404412493
126,2738.96,0.14,0.1,360.22,264.86,55.05,0.93,29.84,229.56075825621605
127,2618.12,0.2,0.14,541.54,331.32,66.26,1.12,30.15,247.8761527283356
128,2799.59,0.18,0.15,411.01,342.48,68.5,1.16,30.8,257.40203575358606
129,2849.91,0.22,0.12,750.08,335.3,67.06,1.13,29.95,264.59461947557753
130,2846.05,0.16,0.07,396.21,83.37,28.09,0.47,30.16,108.96888492523448
131,2640.38,0.15,0.04,410.22,52.42,17.1,0.29,29.55,66.93213125379327
132,2704.91,0.18,0.1,503.78,285.91,57.18,0.97,29.33,208.86817876757894
133,2707.79,0.19,0.11,608.41,298.84,68.7,1.16,29.71,278.27160292398617
134,2786.29,0.25,0.16,750.16,354.49,73.46,1.24,30.64,295.7444771704189
135,2902.86,0.24,0.09,668.59,239.95,52.12,0.88,29.98,213.13264032815567
136,2673.66,0.2,0.06,506.7,253.49,54.64,0.92,30.31,195.31083561457274
137,2779.3,0.22,0.13,653.09,405.85,95.07,1.61,30.05,417.77404289006125
138,2766.45,0.14,0.05,361.36,132.09,40.95,0.69,29.9,185.9365852243342
139,2974.64,0.22,0.09,600.58,346.07,72.33,1.22,30.44,302.56680055767845
140,2544.64,0.17,0.08,403.89,128.11,35.77,0.6,30.2,128.29589894344292
141,2864.9,0.19,0.1,544.3,279.08,72.05,1.22,29.89,296.96282338948464
142,2657.15,0.22,0.07,633.49,141.41,42.4,0.72,30.18,189.92776901269178
143,2666.39,0.22,0.12,607.4,304.5,60.9,1.03,30.06,221.68473059543246
144,2876.43,0.2,0.11,527.75,103.52,33.65,0.57,29.93,137.60671435328334
145,2602.62,0.22,0.08,558.48,242.23,48.66,0.82,29.86,188.26999351762723
146,2903.81,0.22,0.04,640.34,221.97,53.22,0.9,29.81,203.51707880190838
147,2740.06,0.17,0.08,473.69,234.97,51.52,0.87,30.25,189.96936592751743
148,2811.01,0.18,0.13,502.44,202.73,60.67,1.02,30.17,221.07126663436028
149,2726.66,0.2,0.11,584.43,287.42,57.89,0.98,29.68,201.6823728183195
150,2703.7,0.17,0.11,514.24,299.8,59.96,1.01,30.22,232.47018219859075
151,2727.39,0.24,0.07,579.5,202.75,43.79,0.74,30.1,165.84377209958558
152,2862.29,0.2,0.12,454.71,392.45,78.49,1.33,30.07,363.9560129656518
153,2752.61,0.22,0.12,672.27,344.92,68.98,1.16,29.71,290.01358764804456
154,2655.2,0.21,0.07,682.86,208.42,41.68,0.7,30.38,145.18607258328913
155,2702.31,0.15,0.1,302.57,288.62,58.17,0.98,29.82,244.5140491522913
156,2679.26,0.25,0.06,643.96,284.44,62.77,1.06,30.0,245.17534922403792
157,2657.54,0.14,0.11,379.88,323.7,65.58,1.11,30.24,254.94513131955503
158,2637.08,0.16,0.02,432.6,54.0,25.78,0.44,30.07,91.9564214745103
159,2781.99,0.19,0.13,523.36,305.4,66.61,1.12,30.57,236.94520352284707
160,2670.53,0.15,0.11,379.75,276.73,62.91,1.06,29.88,243.79901522225703
161,2726.78,0.23,0.14,653.88,350.17,70.03,1.18,30.11,261.7137455056123
162,2639.46,0.22,0.11,552.95,242.04,53.03,0.9,29.5,208.8405392387211
163,2831.76,0.26,0.12,610.83,345.81,69.5,1.17,29.69,267.97511652671426
164,2782.52,0.19,0.14,565.62,381.77,76.35,1.29,29.7,322.0344559132458
165,2671.23,0.2,0.06,471.47,204.23,44.68,0.75,30.24,154.2816404333898
166,2819.61,0.17,0.04,416.01,83.48,39.19,0.66,30.01,170.16409452455548
167,2740.61,0.16,0.1,377.34,297.75,59.55,1.01,30.28,234.82043448607942
168,2931.01,0.18,0.07,452.11,214.9,43.77,0.74,29.91,179.00187355231841
169,2795.0,0.2,0.07,555.28,220.59,49.22,0.83,30.18,179.63648136567522
170,2552.56,0.18,0.11,419.28,320.42,66.57,1.12,29.96,267.2848491327395
171,2709.96,0.18,0.11,404.06,449.17,91.93,1.55,29.85,362.6949043994504
172,2775.45,0.15,0.06,357.2,104.43,42.47,0.72,30.3,149.80796604125274
173,2882.24,0.21,0.09,678.81,301.27,63.78,1.08,29.46,261.1500803393147
174,2623.57,0.18,0.11,542.29,180.69,36.14,0.61,30.19,147.41392489669778
175,2680.97,0.23,0.18,603.24,361.84,72.37,1.22,30.4,292.2093003878828
176,2728.98,0.2,0.09,590.13,158.03,42.52,0.72,30.01,160.45380629098548
177,2889.13,0.17,0.07,479.0,136.67,38.17,0.64,30.05,136.80231427572727
178,2828.99,0.19,0.13,520.47,280.97,66.88,1.13,29.85,227.1047768848911
179,2809.08,0.24,0.09,730.28,296.18,64.15,1.08,29.82,248.34237835978587
180,2601.12,0.2,0.1,493.95,302.85,62.58,1.06,29.88,224.46784900527547
181,2663.1,0.18,0.04,463.53,103.94,32.42,0.55,29.94,151.41260559016746
182,2783.16,0.2,0.14,606.16,399.23,79.85,1.35,29.54,319.31348614854926
183,2683.22,0.21,0.07,534.65,212.04,44.01,0.74,29.9,184.34534268155278
184,2691.45,0.2,0.04,561.34,173.82,44.52,0.75,30.14,178.55754547365305
185,2804.12,0.16,0.17,541.74,520.98,104.94,1.77,29.9,388.36635368882247
186,2850.15,0.22,0.08,700.92,378.44,80.46,1.36,30.29,325.70224021699056
187,2769.85,0.22,0.06,623.96,215.5,45.97,0.78,29.91,182.0064284694112
188,2621.06,0.12,0.13,337.07,429.56,86.07,1.45,29.7,335.08538900615883
189,2832.74,0.2,0.14,566.58,323.92,74.92,1.27,29.9,256.4309591961637
190,2667.71,0.19,0.06,472.72,202.5,46.39,0.78,30.11,203.0619866702689
191,2740.89,0.23,0.11,629.1,303.16,60.63,1.02,29.41,234.70212456034506
192,2748.87,0.23,0.1,620.7,381.21,76.93,1.3,30.19,343.39775636339596
193,2634.71,0.17,0.11,529.64,286.79,62.39,1.05,30.05,208.26446635182762
194,2679.53,0.2,0.09,562.18,260.92,61.67,1.04,30.07,252.93885177145683
195,2773.86,0.19,0.1,467.97,257.43,53.3,0.9,30.04,199.7098647111079
196,2841.47,0.14,0.14,580.16,332.84,67.47,1.14,29.47,237.67953725078956
197,2932.49,0.17,0.1,554.2,150.15,50.4,0.85,29.85,200.58665475712618
198,2794.38,0.18,0.18,406.08,505.94,102.24,1.73,29.68,416.1264634456696
199,2614.85,0.23,0.15,575.69,390.03,78.01,1.32,30.02,282.17507191588834
200,2609.84,0.25,0.05,596.18,98.82,21.64,0.37,30.45,93.46329816578147
201,2713.38,0.21,0.07,595.37,202.18,49.64,0.84,29.94,172.95866653100592
202,2776.79,0.21,0.07,532.86,136.38,40.02,0.68,29.65,184.35920193035426
203,2614.96,0.22,0.1,643.75,178.24,42.43,0.72,30.23,158.40631831001105
204,2596.32,0.18,0.14,535.61,337.48,67.5,1.14,30.01,262.5565216986621
205,2911.75,0.23,0.13,704.53,514.12,104.15,1.76,30.45,425.12110906525095
206,2768.02,0.21,0.09,572.76,172.89,34.58,0.58,29.95,150.38267535336036
207,2663.57,0.22,0.07,569.26,145.34,34.73,0.59,30.05,149.2347320394046
208,2700.81,0.22,0.09,582.09,308.5,64.95,1.1,30.24,246.51124974214488
209,2808.6,0.21,0.1,626.65,364.97,77.07,1.3,30.07,343.5272540545634
210,2644.27,0.23,0.1,644.06,254.49,54.82,0.93,29.59,219.75600099318223
211,2773.71,0.22,0.09,605.9,272.82,58.22,0.98,29.52,233.8854626258606
212,2518.17,0.19,0.06,425.49,122.39,28.82,0.49,29.82,102.31858414222746
213,2525.59,0.26,0.05,685.15,96.36,27.02,0.46,29.91,109.24158500702715
214,2768.54,0.22,0.09,691.34,166.31,48.3,0.82,30.1,168.04046471144864
215,2726.73,0.28,0.15,705.78,415.49,83.1,1.4,29.74,331.31606345404094
216,2715.87,0.17,0.13,437.33,451.79,90.78,1.53,29.74,366.814430089807
217,2782.69,0.2,0.09,650.59,352.4,73.93,1.25,29.91,326.042091667133
218,2921.17,0.26,0.06,804.71,217.6,47.32,0.8,30.23,155.52976737150368
219,2753.7,0.2,0.08,541.48,169.49,38.34,0.65,29.89,146.0609176614625
220,2924.78,0.17,0.07,549.58,90.54,27.21,0.46,29.8,125.49555734645358
221,2820.11,0.18,0.14,509.78,308.23,75.99,1.28,29.78,261.86151184625476
222,2891.14,0.19,0.04,575.43,54.21,31.65,0.53,30.18,137.18302995479294
223,2855.66,0.24,0.11,730.9,313.99,63.16,1.07,30.22,263.34377101456784
224,2767.45,0.22,0.08,641.09,218.4,53.41,0.9,30.0,262.3825902845308
225,2771.15,0.22,0.11,604.45,298.89,59.78,1.01,29.75,249.8861242406486
226,2838.68,0.18,0.06,499.64,88.51,23.97,0.4,29.9,98.42589261121819
227,2627.83,0.18,0.09,475.42,180.85,45.31,0.77,30.23,174.86145197111614
228,2847.67,0.2,0.04,548.35,105.75,28.18,0.48,30.41,98.57097889958426
229,2656.19,0.25,0.09,663.94,356.92,73.9,1.25,30.08,285.812608892158
230,2608.53,0.18,0.13,421.23,386.1,77.22,1.3,30.11,280.175706486084
231,2706.85,0.24,0.08,663.19,241.03,51.5,0.87,29.82,183.80615798508177
232,2831.84,0.19,0.12,593.75,422.43,85.27,1.44,29.98,394.92735374698094
233,2618.1,0.22,0.09,566.85,201.2,41.4,0.7,30.09,152.6413159019623
234,2710.37,0.22,0.11,642.01,289.84,61.67,1.04,30.28,262.87605760585666
235,2662.88,0.2,0.13,543.0,366.61,73.71,1.24,30.49,253.286468523283
236,2644.55,0.19,0.17,543.06,211.9,56.78,0.96,30.31,223.48979710223736
237,2568.9,0.19,0.11,542.12,196.52,39.68,0.67,30.14,149.32197305088886
238,2953.87,0.2,0.13,703.9,292.27,58.45,0.99,29.87,217.52261769514902
239,2594.34,0.13,0.07,304.12,86.83,40.0,0.68,30.24,146.14930078505014
240,2926.64,0.25,0.08,741.99,337.95,70.42,1.19,30.04,293.20984774676157
241,2528.38,0.22,0.08,552.03,261.84,60.88,1.03,30.19,257.3973910139067
242,2823.57,0.17,0.08,429.8,255.91,61.16,1.03,29.63,224.97665737690218
243,2773.87,0.15,0.12,466.82,294.56,58.91,0.99,29.84,237.06517974332723
244,2750.39,0.2,0.12,543.45,297.33,59.47,1.0,29.97,234.89067837514924
245,2644.4,0.22,0.14,672.44,460.57,95.56,1.61,30.08,362.27943590695725
246,2779.17,0.2,0.09,555.3,256.2,56.16,0.95,30.13,240.55662416282448
247,2916.33,0.22,0.08,602.61,208.03,42.47,0.72,30.28,152.09550465793117
248,2783.99,0.15,0.13,356.3,338.9,67.78,1.14,30.21,260.4862925804356
249,2559.47,0.21,0.12,444.55,281.06,57.04,0.96,29.99,244.93190752044194
250,2707.0,0.17,0.13,574.76,389.95,81.57,1.38,30.57,323.86416646492614
251,2825.46,0.2,0.1,461.53,272.03,61.21,1.03,29.99,199.78599976872977
252,2671.21,0.15,0.09,365.56,279.3,57.24,0.97,30.14,253.13562775969643
253,2789.4,0.17,0.04,412.41,60.42,20.03,0.34,30.41,83.38168081960987
254,2780.72,0.18,0.08,418.2,186.2,39.09,0.66,29.61,145.01259845255768
255,2702.86,0.18,0.06,360.87,202.1,45.06,0.76,30.09,193.55465468829067
256,2796.3,0.26,0.09,840.49,176.63,45.83,0.77,30.38,168.16400383171336
257,2605.01,0.19,0.04,611.61,136.11,30.52,0.52,30.41,127.32153265420179
258,2732.29,0.19,0.12,748.0,296.46,59.29,1.0,30.33,232.69633001429423
259,2656.89,0.21,0.07,554.52,143.64,37.79,0.64,30.25,172.47678386743536
260,2739.86,0.17,0.11,444.27,219.83,49.53,0.84,30.35,197.55373856158553
261,2802.94,0.23,0.17,634.64,408.59,81.72,1.38,30.24,342.13902309873197
262,2669.53,0.19,0.12,560.11,348.12,70.89,1.2,29.13,244.0985347087817
263,2654.42,0.24,0.06,645.89,81.03,36.69,0.62,30.19,132.56056351444462
264,2664.54,0.2,0.07,448.62,38.32,40.82,0.69,30.33,148.5303664187755
265,2632.28,0.26,0.07,612.45,235.66,48.32,0.82,30.11,217.12807696097354
266,2575.95,0.22,0.11,542.92,305.5,66.56,1.12,30.42,265.98333380926397
267,2722.89,0.17,0.1,489.09,271.75,57.2,0.97,29.94,242.74406543005966
268,2625.3,0.29,0.11,770.62,241.55,57.06,0.96,30.39,197.72229228476374
269,2748.43,0.22,0.08,603.57,290.93,59.03,1.0,29.88,237.4629362993125
270,2701.54,0.23,0.14,548.53,428.43,85.95,1.45,29.37,330.99314127678247
271,2974.02,0.26,0.04,765.95,21.36,18.34,0.31,30.53,70.6417819685113
272,2821.89,0.22,0.11,680.09,291.57,59.17,1.0,30.15,251.03671164702158
273,2683.13,0.19,0.13,486.7,361.68,72.34,1.22,30.29,305.1731480498945
274,2832.28,0.25,0.12,753.12,382.51,76.7,1.3,29.97,280.7811655495264
275,2696.94,0.18,0.15,499.37,576.02,115.39,1.95,30.22,434.538790240385
276,2450.54,0.18,0.1,488.46,206.13,45.53,0.77,29.17,179.92765024335029
277,2595.26,0.2,0.04,532.2,113.56,31.3,0.53,29.76,125.19062238245007
278,2716.12,0.15,0.12,453.96,251.6,52.58,0.89,29.74,198.88233477106846
279,2757.28,0.22,0.12,633.09,258.36,52.38,0.88,29.99,193.43515723813033
280,2873.32,0.21,0.15,697.55,412.76,82.93,1.4,29.33,299.3169561233545
281,2595.53,0.16,0.03,490.91,205.56,45.11,0.76,29.58,197.39177257167353
282,2763.05,0.14,0.16,346.56,371.33,74.27,1.25,29.67,295.96664193558604
283,2951.69,0.17,0.11,494.53,263.29,52.66,0.89,30.06,214.45910775179863
284,2842.77,0.24,0.12,625.15,270.43,57.69,0.97,29.8,211.4732153851394
285,2593.57,0.18,0.09,529.71,247.06,49.41,0.83,30.82,198.34464881672383
286,2755.89,0.21,0.09,526.75,305.51,64.97,1.1,29.74,259.98452741537017
287,2831.92,0.28,0.08,746.82,251.12,57.76,0.98,29.53,254.42131111992933
288,2786.52,0.22,0.13,597.53,394.2,79.54,1.34,29.65,318.36532994387096
289,2784.25,0.21,0.09,648.68,258.27,52.92,0.89,30.26,241.04022904948897
290,2630.35,0.15,0.18,331.86,394.15,78.83,1.33,30.16,300.13458220299344
291,2789.71,0.21,0.09,585.79,176.15,37.54,0.63,30.31,172.18498183042402
292,2692.15,0.22,0.1,595.92,239.33,51.86,0.88,30.01,207.91437570184738
293,2754.26,0.16,0.13,352.31,334.23,66.85,1.13,30.09,256.13462380440166
294,2886.97,0.24,0.15,722.32,449.43,89.89,1.52,29.81,330.7572531097887
295,2940.26,0.24,0.12,676.29,392.16,78.43,1.32,30.11,322.49688039999853
296,2732.41,0.22,0.11,638.59,283.91,57.24,0.97,30.3,236.75212267853453
297,2897.12,0.2,0.03,656.11,64.12,32.64,0.55,30.22,107.38032138945763
298,2623.38,0.22,0.15,607.27,403.86,82.53,1.39,29.87,331.42600542144476
299,2777.16,0.16,0.07,482.62,288.9,60.62,1.02,30.02,219.88520502771107
300,2560.75,0.22,0.07,596.22,168.07,46.2,0.78,30.52,211.4334243226781
