,Revenue,Gross Margin,Operating Margin,Gross Profit,Operating Profit,Net Income,EPS,PE Ratio,Discounted Cash Flow
0,1691.2,0.1,0.06,186.69,85.79,17.27,0.15,30.05,30.892806450671134
1,1646.64,0.25,0.1,392.03,229.38,47.07,0.41,30.43,101.4191218002975
2,1722.72,0.18,0.12,364.85,210.31,42.06,0.36,29.89,86.46570832882766
3,1572.48,0.24,0.15,392.12,169.17,35.55,0.31,29.89,64.15047044958746
4,1752.79,0.2,0.11,329.33,242.56,52.28,0.45,30.19,122.08772334915905
5,1618.94,0.13,0.09,121.61,132.8,26.63,0.23,29.93,52.33046508117306
6,1601.37,0.15,0.08,253.34,139.1,28.18,0.24,29.95,66.22671634150797
7,1597.26,0.2,0.1,292.28,197.79,41.33,0.36,30.24,92.14430802535173
8,1591.23,0.23,0.14,363.56,287.09,58.67,0.51,29.36,117.6051263095145
9,1584.13,0.22,0.09,332.03,120.08,28.12,0.24,29.45,48.182933704822894
10,1702.35,0.16,0.08,316.36,109.79,25.36,0.22,30.38,45.598701477098
11,1640.85,0.23,0.06,486.77,119.51,25.35,0.22,29.94,56.96889734485539
12,1707.96,0.19,0.11,369.14,132.99,29.65,0.26,30.33,53.79215326862592
13,1538.98,0.22,0.11,327.53,138.74,28.31,0.24,30.34,62.25814141583384
14,1595.04,0.25,0.08,391.78,176.47,36.52,0.32,29.72,61.041173623998155
15,1639.2,0.17,0.09,287.64,171.8,35.37,0.31,29.86,63.2088450626904
16,1543.03,0.23,0.05,313.04,101.61,27.19,0.23,30.49,45.16269732142683
17,1732.38,0.17,0.07,322.22,118.57,27.42,0.24,29.62,56.943005878257495
18,1431.83,0.19,0.1,256.11,151.51,30.52,0.26,29.58,67.81261503379375
19,1589.31,0.19,0.1,311.49,161.62,34.06,0.29,29.81,65.31473660380733
20,1610.11,0.22,0.05,295.89,95.73,26.57,0.23,29.93,44.65475518692878
21,1691.18,0.23,0.1,383.87,178.17,35.63,0.31,30.05,73.82541350136424
22,1611.44,0.21,0.1,368.35,191.8,39.02,0.34,29.85,80.36724085060993
23,1557.51,0.18,0.1,248.92,131.97,27.1,0.23,30.25,48.93669010646617
